(4 byte int),TINTRPL,roll,pitch,yaw,AccS_X,AccS_Y,AccS_Z,OmgS_X,OmgS_Y,OmgS_Z
0000,+317381.8045,-1.7983093E+002,6.2177122E-001,2.5012034E-001,3.9965091E-003,9.8730139E-003,-2.0700108E-004,-4.8189901E-005,3.5431273E-003,2.0486010E-002
0000,+317381.8045,-1.7983093E+002,6.2177122E-001,2.5012034E-001,3.9965091E-003,9.8730139E-003,-2.0700108E-004,-4.8189901E-005,3.5431273E-003,2.0486010E-002
0000,+317381.8095,-1.7983093E+002,6.2180996E-001,2.5007477E-001,2.9521475E-003,9.1593927E-003,-4.5973950E-004,-9.7749369E-005,-7.7206367E-003,9.1359131E-003
0000,+317381.8145,-1.7983093E+002,6.2179238E-001,2.5002897E-001,1.7330503E-003,7.4777706E-003,2.4224864E-005,-4.4249744E-005,3.5552385E-003,9.1462079E-003
0000,+317381.8195,-1.7983093E+002,6.2183112E-001,2.4998340E-001,3.2901140E-003,5.9510567E-003,-1.0410128E-003,-9.7744502E-005,-7.7206367E-003,9.1359131E-003
0000,+317381.8245,-1.7983093E+002,6.2181324E-001,2.4999432E-001,2.8338314E-003,4.2193597E-003,-5.9461704E-004,-4.0311701E-005,3.5673494E-003,-2.1935950E-003
0000,+317381.8295,-1.7983099E+002,6.2185180E-001,2.4994877E-001,1.5916178E-003,2.8397443E-003,-1.0154088E-003,-1.1417186E-002,-7.6947175E-003,9.1297524E-003
0000,+317381.8345,-1.7983099E+002,6.2183392E-001,2.4995969E-001,-4.5658989E-004,1.8705854E-003,-7.2199537E-004,-4.0310344E-005,3.5673520E-003,-2.1935913E-003
0000,+317381.8395,-1.7983099E+002,6.2181610E-001,2.4997060E-001,-1.0553641E-003,1.0483396E-003,4.3541531E-004,-4.0310340E-005,3.5673520E-003,-2.1935913E-003
0000,+317381.8445,-1.7983099E+002,6.2185460E-001,2.4998175E-001,1.9451445E-004,-1.2741992E-003,-2.8239947E-004,-9.3807459E-005,-7.7085230E-003,-2.2038859E-003
0000,+317381.8495,-1.7983099E+002,6.2183648E-001,2.5004935E-001,1.1271094E-003,-1.7573115E-003,-1.9678421E-004,-3.6379319E-005,3.5794626E-003,-1.3533395E-002
0000,+317381.8545,-1.7983099E+002,6.2181842E-001,2.5011700E-001,1.5375760E-003,-3.4242468E-003,-6.0665008E-004,-3.6382131E-005,3.5794626E-003,-1.3533395E-002
0000,+317381.8595,-1.7983099E+002,6.2180030E-001,2.5018460E-001,-1.3032665E-004,-3.5164531E-003,2.2548114E-004,-3.6386347E-005,3.5794626E-003,-1.3533395E-002
0000,+317381.8645,-1.7983099E+002,6.2183857E-001,2.5025243E-001,-1.0041791E-004,-4.5208796E-003,9.2228799E-004,-8.9887260E-005,-7.6964125E-003,-1.3543689E-002
0000,+317381.8695,-1.7983099E+002,6.2182027E-001,2.5037676E-001,1.4089543E-003,-5.2092555E-003,5.0192443E-004,-3.2463060E-005,3.5915736E-003,-2.4873199E-002
0000,+317381.8745,-1.7983099E+002,6.2180215E-001,2.5044435E-001,3.3749212E-003,-5.8206455E-003,-4.2238319E-004,-3.6402558E-005,3.5794626E-003,-1.3533395E-002
0000,+317381.8795,-1.7983099E+002,6.2184024E-001,2.5056890E-001,3.9942004E-003,-5.6335125E-003,-6.7520706E-004,-8.5970736E-005,-7.6843016E-003,-2.4883492E-002
0000,+317381.8845,-1.7983099E+002,6.2182212E-001,2.5063652E-001,2.7050588E-003,-6.1461730E-003,-1.3595970E-003,-3.6415968E-005,3.5794624E-003,-1.3533395E-002
0000,+317381.8895,-1.7983099E+002,6.2180376E-001,2.5076085E-001,2.7850119E-003,-6.1242180E-003,-1.2833586E-005,-3.2487715E-005,3.5915736E-003,-2.4873199E-002
0000,+317381.8945,-1.7983099E+002,6.2178570E-001,2.5082844E-001,4.5346501E-003,-6.6310260E-003,1.2042133E-004,-3.6426511E-005,3.5794624E-003,-1.3533395E-002
0000,+317381.8995,-1.7983099E+002,6.2182403E-001,2.5089630E-001,5.9935362E-003,-6.1968775E-003,5.6498262E-005,-8.9927875E-005,-7.6964125E-003,-1.3543689E-002
0000,+317381.9045,-1.7983099E+002,6.2180585E-001,2.5096393E-001,6.4536310E-003,-7.0659067E-003,6.8928482E-004,-3.6437115E-005,3.5794624E-003,-1.3533394E-002
0000,+317381.9095,-1.7983099E+002,6.2178779E-001,2.5103155E-001,5.0081722E-003,-7.0387051E-003,-1.9590756E-004,-3.6440622E-005,3.5794624E-003,-1.3533394E-002
0000,+317381.9145,-1.7983099E+002,6.2182611E-001,2.5109938E-001,3.0397025E-003,-6.1689592E-003,4.0700784E-004,-8.9940033E-005,-7.6964125E-003,-1.3543689E-002
0000,+317381.9195,-1.7983099E+002,6.2180823E-001,2.5111029E-001,3.6113095E-003,-6.9713262E-003,1.3302967E-003,-4.0380877E-005,3.5673510E-003,-2.1935911E-003
0000,+317381.9245,-1.7983099E+002,6.2184674E-001,2.5112143E-001,4.9178684E-003,-6.9348975E-003,4.8268100E-004,-9.3878873E-005,-7.7085239E-003,-2.2038857E-003
0000,+317381.9295,-1.7983099E+002,6.2188518E-001,2.5113255E-001,4.7605080E-003,-6.8531446E-003,5.2292307E-004,-9.3879731E-005,-7.7085239E-003,-2.2038857E-003
0000,+317381.9345,-1.7983099E+002,6.2186736E-001,2.5114349E-001,3.2273531E-003,-7.6123625E-003,-1.1212872E-003,-4.0385192E-005,3.5673510E-003,-2.1935911E-003
0000,+317381.9395,-1.7983099E+002,6.2190610E-001,2.5109789E-001,1.0346934E-003,-6.5624202E-003,-5.8567995E-004,-9.7816635E-005,-7.7206353E-003,9.1359178E-003
0000,+317381.9445,-1.7983099E+002,6.2188822E-001,2.5110883E-001,5.5624649E-004,-7.7159423E-003,-4.7651728E-004,-4.0383838E-005,3.5673510E-003,-2.1935909E-003
0000,+317381.9495,-1.7983099E+002,6.2192696E-001,2.5106326E-001,1.1747419E-003,-7.0330934E-003,-4.0196165E-004,-9.7813601E-005,-7.7206343E-003,9.1359178E-003
0000,+317381.9545,-1.7983099E+002,6.2190932E-001,2.5101745E-001,8.5053657E-004,-7.2580292E-003,-5.1833101E-004,-4.4315653E-005,3.5552403E-003,9.1462117E-003
0000,+317381.9595,-1.7983099E+002,6.2194806E-001,2.5097188E-001,-2.7946888E-005,-7.1361279E-003,-1.0831815E-003,-9.7808836E-005,-7.7206343E-003,9.1359178E-003
0000,+317381.9645,-1.7983099E+002,6.2193042E-001,2.5092611E-001,-2.4147825E-003,-6.3117882E-003,-7.4034970E-004,-4.4311484E-005,3.5552403E-003,9.1462117E-003
0000,+317381.9695,-1.7983099E+002,6.2191254E-001,2.5093701E-001,-2.3886722E-003,-5.5802953E-003,4.3486496E-005,-4.0374085E-005,3.5673515E-003,-2.1935909E-003
0000,+317381.9745,-1.7983099E+002,6.2189490E-001,2.5089124E-001,-1.5245515E-003,-5.7013817E-003,7.0447488E-005,-4.4305143E-005,3.5552403E-003,9.1462117E-003
0000,+317381.9795,-1.7983099E+002,6.2193364E-001,2.5084567E-001,-4.3404562E-004,-4.5381496E-003,1.5611181E-004,-9.7800170E-005,-7.7206343E-003,9.1359178E-003
0000,+317381.9845,-1.7983099E+002,6.2191576E-001,2.5085658E-001,-3.1320349E-004,-4.6439059E-003,-2.3025513E-004,-4.0369214E-005,3.5673515E-003,-2.1935909E-003
0000,+317381.9895,-1.7983099E+002,6.2189811E-001,2.5081080E-001,-1.5606525E-003,-2.9948500E-003,-1.1232118E-003,-4.4300978E-005,3.5552406E-003,9.1462117E-003
0000,+317381.9945,-1.7983093E+002,6.2188041E-001,2.5082168E-001,-2.0657051E-003,-2.1291447E-003,-4.5490806E-004,1.1279079E-002,3.5414335E-003,-2.1874281E-003
0000,+317381.9995,-1.7983095E+002,6.2186277E-001,2.5077590E-001,2.2506650E-004,-1.7377948E-003,-6.6232530E-004,-4.4298165E-005,3.5552382E-003,9.1462089E-003
0000,+317382.0045,-1.7983095E+002,6.2184489E-001,2.5078681E-001,2.1552178E-003,-8.3716755E-004,-6.8517536E-004,-4.0362171E-005,3.5673494E-003,-2.1935941E-003
0000,+317382.0095,-1.7983095E+002,6.2182701E-001,2.5079775E-001,2.9491030E-003,5.0576124E-004,-9.4092253E-004,-4.0362171E-005,3.5673494E-003,-2.1935941E-003
0000,+317382.0145,-1.7983095E+002,6.2180918E-001,2.5080866E-001,2.8784506E-003,1.1083640E-003,-9.0262311E-004,-4.0362167E-005,3.5673494E-003,-2.1935941E-003
0000,+317382.0195,-1.7983095E+002,6.2179130E-001,2.5081956E-001,2.5524867E-003,3.0505562E-003,3.2005119E-004,-4.0362156E-005,3.5673494E-003,-2.1935941E-003
0000,+317382.0245,-1.7983095E+002,6.2177342E-001,2.5083047E-001,4.3181735E-003,2.9132739E-003,-1.3334118E-004,-4.0362153E-005,3.5673494E-003,-2.1935941E-003
0000,+317382.0295,-1.7983095E+002,6.2181187E-001,2.5084162E-001,6.7790248E-003,4.5857145E-003,1.5154693E-004,-9.3858849E-005,-7.7085258E-003,-2.2038890E-003
0000,+317382.0345,-1.7983095E+002,6.2179404E-001,2.5085253E-001,6.9436096E-003,4.4702329E-003,3.4899943E-004,-4.0364306E-005,3.5673494E-003,-2.1935941E-003
0000,+317382.0395,-1.7983095E+002,6.2177640E-001,2.5080675E-001,6.1305524E-003,5.8805002E-003,-5.3256832E-004,-4.4297474E-005,3.5552382E-003,9.1462089E-003
0000,+317382.0445,-1.7983095E+002,6.2181491E-001,2.5081789E-001,4.6894960E-003,6.2864381E-003,9.2594884E-004,-9.3857045E-005,-7.7085258E-003,-2.2038887E-003
0000,+317382.0495,-1.7983095E+002,6.2179708E-001,2.5082880E-001,5.5894102E-003,6.6936770E-003,2.6734109E-004,-4.0362935E-005,3.5673494E-003,-2.1935941E-003
0000,+317382.0545,-1.7983095E+002,6.2177920E-001,2.5083971E-001,7.2430973E-003,7.0899432E-003,-3.9013605E-005,-4.0362931E-005,3.5673494E-003,-2.1935941E-003
0000,+317382.0595,-1.7983095E+002,6.2181771E-001,2.5085083E-001,6.9626020E-003,7.0912056E-003,-3.1898773E-004,-9.3860501E-005,-7.7085258E-003,-2.2038887E-003
0000,+317382.0645,-1.7983095E+002,6.2185615E-001,2.5086200E-001,6.0146786E-003,6.5782121E-003,-2.7434516E-004,-9.3861359E-005,-7.7085258E-003,-2.2038887E-003
0000,+317382.0695,-1.7983095E+002,6.2183833E-001,2.5087291E-001,3.6367101E-003,7.7666990E-003,-1.8871645E-004,-4.0367253E-005,3.5673494E-003,-2.1935941E-003
0000,+317382.0745,-1.7983095E+002,6.2187707E-001,2.5082734E-001,3.1341980E-003,6.8716700E-003,2.5722862E-004,-9.7798678E-005,-7.7206367E-003,9.1359140E-003
0000,+317382.0795,-1.7983095E+002,6.2191558E-001,2.5083846E-001,3.0895695E-003,7.3546949E-003,-9.5578271E-004,-9.3862152E-005,-7.7085258E-003,-2.2038885E-003
0000,+317382.0845,-1.7983095E+002,6.2189770E-001,2.5084937E-001,3.0631577E-003,6.6246856E-003,-6.7667384E-004,-4.0368046E-005,3.5673494E-003,-2.1935941E-003
0000,+317382.0895,-1.7983095E+002,6.2193620E-001,2.5086051E-001,1.7907600E-003,6.2399697E-003,-1.0265014E-003,-9.3865609E-005,-7.7085258E-003,-2.2038885E-003
0000,+317382.0945,-1.7983095E+002,6.2191832E-001,2.5087145E-001,-6.0961704E-004,5.9675151E-003,-5.5122015E-004,-4.0370207E-005,3.5673494E-003,-2.1935939E-003
0000,+317382.0995,-1.7983095E+002,6.2195688E-001,2.5088257E-001,-1.4959967E-003,5.4983720E-003,3.5148449E-004,-9.3868199E-005,-7.7085258E-003,-2.2038885E-003
0000,+317382.1045,-1.7983095E+002,6.2199533E-001,2.5089368E-001,2.1233688E-004,4.4614151E-003,5.4623128E-004,-9.3869057E-005,-7.7085258E-003,-2.2038883E-003
0000,+317382.1095,-1.7983095E+002,6.2197751E-001,2.5090459E-001,-1.3795972E-004,4.3071569E-003,-5.8256980E-004,-4.0374518E-005,3.5673494E-003,-2.1935939E-003
0000,+317382.1145,-1.7983095E+002,6.2201577E-001,2.5097245E-001,-5.9287198E-004,3.2829300E-003,-2.2884431E-004,-8.9940309E-005,-7.6964144E-003,-1.3543691E-002
0000,+317382.1195,-1.7983095E+002,6.2199789E-001,2.5098336E-001,-2.9698012E-003,4.1573765E-003,-2.0196929E-003,-4.0380186E-005,3.5673494E-003,-2.1935939E-003
0000,+317382.1245,-1.7983095E+002,6.2203622E-001,2.5105122E-001,-2.9570088E-003,2.4932276E-003,3.2718395E-004,-8.9944413E-005,-7.6964144E-003,-1.3543691E-002
0000,+317382.1295,-1.7983095E+002,6.2201834E-001,2.5106212E-001,-1.5719656E-003,2.2901078E-003,-1.1455765E-003,-4.0385854E-005,3.5673494E-003,-2.1935937E-003
0000,+317382.1345,-1.7983095E+002,6.2200022E-001,2.5112972E-001,-4.7024482E-004,1.2070398E-003,-3.8124228E-004,-3.6454083E-005,3.5794606E-003,-1.3533397E-002
0000,+317382.1395,-1.7983095E+002,6.2198240E-001,2.5114065E-001,6.2683783E-004,1.1375248E-003,-1.3883591E-003,-4.0389361E-005,3.5673494E-003,-2.1935937E-003
0000,+317382.1445,-1.7983095E+002,6.2202066E-001,2.5120848E-001,-1.8529120E-004,5.5112428E-004,-7.8095711E-004,-8.9955000E-005,-7.6964144E-003,-1.3543691E-002
0000,+317382.1495,-1.7983095E+002,6.2200254E-001,2.5127611E-001,-1.1377672E-003,4.9163727E-004,-6.9909089E-004,-3.6462567E-005,3.5794603E-003,-1.3533397E-002
0000,+317382.1545,-1.7983095E+002,6.2198466E-001,2.5128701E-001,1.3209907E-003,-8.4252935E-004,5.4839061E-004,-4.0398554E-005,3.5673494E-003,-2.1935937E-003
0000,+317382.1595,-1.7983095E+002,6.2196660E-001,2.5135463E-001,2.2389141E-003,-7.5481314E-004,-3.3053121E-004,-3.6466783E-005,3.5794603E-003,-1.3533397E-002
0000,+317382.1645,-1.7983095E+002,6.2194872E-001,2.5136557E-001,4.0509077E-003,-1.3363257E-003,7.4178987E-004,-4.0402057E-005,3.5673494E-003,-2.1935937E-003
0000,+317382.1695,-1.7983095E+002,6.2193060E-001,2.5143316E-001,3.1657338E-003,-2.0371287E-003,-8.8689156E-004,-3.6468879E-005,3.5794603E-003,-1.3533397E-002
0000,+317382.1745,-1.7983095E+002,6.2191272E-001,2.5144407E-001,2.3957586E-003,-2.2252491E-003,4.8964645E-004,-4.0405557E-005,3.5673494E-003,-2.1935937E-003
0000,+317382.1795,-1.7983095E+002,6.2195128E-001,2.5145522E-001,3.5859933E-003,-2.6117356E-003,1.0639297E-004,-9.3903116E-005,-7.7085258E-003,-2.2038880E-003
0000,+317382.1845,-1.7983095E+002,6.2193340E-001,2.5146616E-001,5.6992513E-003,-3.8611828E-003,9.5578238E-005,-4.0407704E-005,3.5673494E-003,-2.1935937E-003
0000,+317382.1895,-1.7983095E+002,6.2191552E-001,2.5147706E-001,5.9275855E-003,-4.2299791E-003,1.8353968E-004,-4.0407700E-005,3.5673494E-003,-2.1935937E-003
0000,+317382.1945,-1.7983095E+002,6.2189764E-001,2.5148797E-001,5.5738525E-003,-5.1256130E-003,1.0596325E-004,-4.0407704E-005,3.5673494E-003,-2.1935937E-003
0000,+317382.1995,-1.7983095E+002,6.2193638E-001,2.5144240E-001,2.9926531E-003,-4.3399087E-003,-5.8028940E-004,-9.7838012E-005,-7.7206367E-003,9.1359150E-003
0000,+317382.2045,-1.7983095E+002,6.2191850E-001,2.5145331E-001,4.1150702E-003,-6.1557554E-003,7.8725605E-004,-4.0406350E-005,3.5673494E-003,-2.1935937E-003
0000,+317382.2095,-1.7983095E+002,6.2190062E-001,2.5146422E-001,4.9509271E-003,-5.7374588E-003,-1.9428415E-004,-4.0406350E-005,3.5673494E-003,-2.1935937E-003
